epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.3236,0.55169,1.22848,0.87929,0.99978,1,0.995,0.89122,0.47749,0.621,0.85931,0.000662857,0.000662857,0.000662857
2,30.57,0.57062,0.66664,0.88587,0.99978,1,0.995,0.8876,0.49166,0.43366,0.86416,0.0013292,0.0013292,0.0013292
3,45.4426,0.556,0.51077,0.87523,0.9987,1,0.995,0.89299,0.46237,0.32652,0.85328,0.00199424,0.00199424,0.00199424
4,59.888,0.53149,0.41948,0.8684,0.99981,1,0.995,0.90041,0.46925,0.30036,0.85418,0.00199561,0.00199561,0.00199561
5,73.8845,0.52266,0.38336,0.86276,0.99941,1,0.995,0.90861,0.4361,0.31987,0.84566,0.00199219,0.00199219,0.00199219
6,87.8021,0.51776,0.35537,0.86366,0.99983,1,0.995,0.90557,0.43942,0.28856,0.84739,0.00198781,0.00198781,0.00198781
7,101.668,0.5053,0.33815,0.86529,0.99983,1,0.995,0.9016,0.44914,0.26737,0.85063,0.00198246,0.00198246,0.00198246
8,115.34,0.49296,0.31643,0.85763,0.99977,1,0.995,0.9174,0.43862,0.26355,0.8472,0.00197616,0.00197616,0.00197616
9,128.944,0.48901,0.30807,0.86011,0.99983,1,0.995,0.91553,0.43032,0.23511,0.84371,0.0019689,0.0019689,0.0019689
10,142.669,0.48544,0.3024,0.85638,0.99984,1,0.995,0.91038,0.43709,0.23088,0.84473,0.00196069,0.00196069,0.00196069
11,156.449,0.47701,0.29891,0.84833,0.99918,1,0.995,0.90112,0.44172,0.25294,0.84321,0.00195155,0.00195155,0.00195155
12,170.462,0.48361,0.29792,0.85053,0.99983,1,0.995,0.92187,0.4163,0.23047,0.8391,0.00194147,0.00194147,0.00194147
13,184.049,0.48812,0.29479,0.85477,0.99983,1,0.995,0.91413,0.44659,0.21822,0.85167,0.00193048,0.00193048,0.00193048
14,197.678,0.4744,0.28632,0.85356,0.99974,1,0.995,0.9219,0.39776,0.21338,0.83359,0.00191858,0.00191858,0.00191858
15,211.458,0.46534,0.27563,0.84791,0.99982,1,0.995,0.91611,0.43627,0.23033,0.84422,0.00190578,0.00190578,0.00190578
16,225.505,0.4651,0.2781,0.85232,0.99978,1,0.995,0.91215,0.43642,0.23362,0.84352,0.0018921,0.0018921,0.0018921
17,239.3,0.46996,0.27546,0.85204,0.99978,1,0.995,0.91854,0.42398,0.22884,0.84063,0.00187754,0.00187754,0.00187754
18,252.969,0.45998,0.26967,0.84873,0.99984,1,0.995,0.92519,0.41358,0.20994,0.8361,0.00186213,0.00186213,0.00186213
19,266.679,0.45563,0.2679,0.85158,0.99984,1,0.995,0.92511,0.41821,0.20979,0.84114,0.00184588,0.00184588,0.00184588
20,280.521,0.46595,0.27496,0.85174,0.99983,1,0.995,0.91489,0.42653,0.21822,0.84079,0.00182881,0.00182881,0.00182881
21,294.681,0.46015,0.26848,0.84753,0.99981,1,0.995,0.91906,0.41543,0.21154,0.83892,0.00181093,0.00181093,0.00181093
22,308.372,0.44982,0.25905,0.84691,0.99982,1,0.995,0.92586,0.40508,0.21547,0.83512,0.00179225,0.00179225,0.00179225
23,322.228,0.4537,0.26108,0.84262,0.99982,1,0.995,0.92067,0.41517,0.22236,0.83891,0.00177281,0.00177281,0.00177281
24,336.117,0.44903,0.25342,0.84899,0.99975,1,0.995,0.92884,0.39657,0.19101,0.83109,0.00175261,0.00175261,0.00175261
25,349.699,0.4509,0.2571,0.84291,0.99974,1,0.995,0.92524,0.40227,0.20199,0.83454,0.00173168,0.00173168,0.00173168
26,363.333,0.44308,0.25331,0.84263,0.99983,1,0.995,0.93137,0.39777,0.20687,0.83341,0.00171004,0.00171004,0.00171004
27,377.11,0.44311,0.25569,0.84939,0.99981,1,0.995,0.92895,0.41413,0.21603,0.83931,0.0016877,0.0016877,0.0016877
28,390.857,0.44982,0.25884,0.84765,0.9996,1,0.995,0.91827,0.41618,0.21109,0.84053,0.0016647,0.0016647,0.0016647
29,405.613,0.43291,0.2492,0.84061,0.99984,1,0.995,0.93027,0.39599,0.19816,0.83449,0.00164105,0.00164105,0.00164105
30,419.966,0.44341,0.25176,0.84545,0.99974,1,0.995,0.92694,0.39204,0.19913,0.83165,0.00161678,0.00161678,0.00161678
31,433.643,0.43473,0.24837,0.84173,0.9998,1,0.995,0.92496,0.40784,0.20165,0.83373,0.00159191,0.00159191,0.00159191
32,447.412,0.44085,0.2516,0.83951,0.99983,1,0.995,0.933,0.39692,0.20555,0.83298,0.00156646,0.00156646,0.00156646
33,461.173,0.43266,0.2463,0.84586,0.99984,1,0.995,0.92729,0.40693,0.19967,0.83467,0.00154047,0.00154047,0.00154047
34,474.991,0.43198,0.24787,0.83875,0.9998,1,0.995,0.9338,0.38425,0.18185,0.83051,0.00151395,0.00151395,0.00151395
35,488.851,0.43024,0.23745,0.843,0.99984,1,0.995,0.9263,0.4068,0.18958,0.83671,0.00148694,0.00148694,0.00148694
36,502.539,0.43424,0.23606,0.84264,0.99984,1,0.995,0.92955,0.40223,0.18844,0.83533,0.00145945,0.00145945,0.00145945
37,516.602,0.42038,0.22818,0.83762,0.99983,1,0.995,0.92938,0.38968,0.18362,0.83016,0.00143152,0.00143152,0.00143152
38,530.379,0.42147,0.23223,0.83999,0.99984,1,0.995,0.92988,0.3841,0.1786,0.82776,0.00140318,0.00140318,0.00140318
39,544.448,0.42289,0.23222,0.83823,0.99984,1,0.995,0.92869,0.38829,0.18098,0.83057,0.00137444,0.00137444,0.00137444
40,558.708,0.41918,0.23231,0.83687,0.99983,1,0.995,0.93106,0.4044,0.19015,0.83465,0.00134535,0.00134535,0.00134535
41,573.034,0.42214,0.23304,0.83594,0.99984,1,0.995,0.93175,0.39749,0.17848,0.83273,0.00131593,0.00131593,0.00131593
42,587.404,0.42472,0.23002,0.84425,0.99984,1,0.995,0.93164,0.38703,0.18334,0.82952,0.0012862,0.0012862,0.0012862
43,601.519,0.41319,0.22973,0.84251,0.99981,1,0.995,0.93307,0.38884,0.18178,0.83233,0.0012562,0.0012562,0.0012562
44,615.494,0.41626,0.2303,0.83657,0.99984,1,0.995,0.93391,0.3894,0.17488,0.83086,0.00122596,0.00122596,0.00122596
45,629.412,0.41512,0.22419,0.84007,0.99966,1,0.995,0.92995,0.37999,0.17174,0.82824,0.00119551,0.00119551,0.00119551
46,643.455,0.41117,0.22406,0.83905,0.99982,1,0.995,0.93224,0.38378,0.17587,0.82977,0.00116487,0.00116487,0.00116487
47,657.125,0.4113,0.22015,0.8343,0.99981,1,0.995,0.93511,0.39627,0.18585,0.8309,0.00113408,0.00113408,0.00113408
48,670.959,0.41333,0.22439,0.83614,0.99983,1,0.995,0.93253,0.42414,0.21602,0.84341,0.00110317,0.00110317,0.00110317
49,684.65,0.40791,0.22036,0.83866,0.99984,1,0.995,0.93672,0.38346,0.17506,0.82948,0.00107216,0.00107216,0.00107216
50,698.77,0.41075,0.2236,0.83296,0.99984,1,0.995,0.93791,0.38372,0.17428,0.82853,0.0010411,0.0010411,0.0010411
51,713.029,0.41155,0.22116,0.83808,0.99984,1,0.995,0.93275,0.38215,0.1802,0.82732,0.00101,0.00101,0.00101
52,727.409,0.40875,0.22105,0.83717,0.99984,1,0.995,0.93254,0.39599,0.17633,0.83376,0.000978903,0.000978903,0.000978903
53,741.316,0.41072,0.21853,0.83846,0.99984,1,0.995,0.93429,0.39378,0.18083,0.83142,0.000947837,0.000947837,0.000947837
54,755.172,0.40945,0.21798,0.83942,0.99984,1,0.995,0.94034,0.38282,0.17965,0.82952,0.000916833,0.000916833,0.000916833
55,768.947,0.39527,0.21043,0.83306,0.99984,1,0.995,0.93854,0.38102,0.17089,0.82751,0.00088592,0.00088592,0.00088592
56,782.791,0.40005,0.21224,0.83819,0.99984,1,0.995,0.93603,0.37705,0.17269,0.82756,0.00085513,0.00085513,0.00085513
57,797.528,0.40032,0.2117,0.83803,0.99984,1,0.995,0.93137,0.38741,0.17386,0.83051,0.000824492,0.000824492,0.000824492
